,open,high,low,close,volume,is_trading_day,days_since_last_trading,pct_change
2017-03-30,74.0,76.35,74.0,75.98,36195,1,1.0,3.7411250682687136
2017-03-31,76.09,76.7,76.0,76.02,15530,1,1.0,0.052645433008668974
2017-04-03,76.0,76.3,75.35,75.35,10940,1,3.0,-0.8813470139437007
2017-04-04,75.93,77.99,75.89,77.6,22980,1,1.0,2.9860650298606517
2017-04-05,77.5,77.84,76.23,76.8,16470,1,1.0,-1.0309278350515427
2017-04-06,76.29,77.75,76.28,77.75,32925,1,1.0,1.236979166666674
2017-04-07,75.51,76.36,75.39,75.9,7325,1,1.0,-2.3794212218649413
2017-04-10,76.22,76.99,76.01,76.41,13360,1,3.0,0.6719367588932768
2017-04-11,76.41,77.65,76.41,77.0,6260,1,1.0,0.7721502421149218
2017-04-12,76.92,77.73,76.92,77.59,10020,1,1.0,0.7662337662337704
2017-04-13,76.6,77.33,76.6,76.98,8995,1,1.0,-0.786183786570438
2017-04-18,76.89,77.19,76.48,76.58,72060,1,5.0,-0.5196154845414469
2017-04-19,77.14,78.14,77.04,78.14,66480,1,1.0,2.0370854008879613
2017-04-20,77.55,78.31,77.55,78.22,11880,1,1.0,0.10238034297413989
2017-04-21,77.83,77.9,76.7,76.7,19155,1,1.0,-1.9432370237790764
2017-04-24,78.61,78.74,77.87,77.87,49190,1,3.0,1.5254237288135686
2017-04-25,77.66,78.42,77.57,78.21,14835,1,1.0,0.43662514447153633
2017-04-26,78.35,78.78,78.1,78.78,6690,1,1.0,0.7288070579209993
2017-04-27,78.31,78.9,78.31,78.84,14360,1,1.0,0.07616146230007281
2017-04-28,78.52,79.62,78.52,79.23,11935,1,1.0,0.49467275494672336
2017-05-02,79.98,80.0,79.26,79.99,14750,1,4.0,0.9592326139088669
2017-05-03,79.25,79.99,78.24,79.99,26955,1,1.0,0.0
2017-05-04,79.21,79.8,79.1,79.18,4640,1,1.0,-1.0126265783222732
2017-05-05,81.0,83.89,81.0,83.89,48535,1,1.0,5.9484718363223
2017-05-08,84.79,84.79,82.46,83.73,25305,1,3.0,-0.1907259506496617
2017-05-09,83.26,83.61,82.92,83.45,9180,1,1.0,-0.3344082168876161
2017-05-10,83.0,83.21,81.79,83.0,15165,1,1.0,-0.5392450569203122
